Time,VAV SYS 1:DesPer 1:Des Heat Mass Flow [kg/s],VAV SYS 1:DesPer 1:Des Heat Cap [W],VAV SYS 1:DesPer 1:Des Cool Mass Flow [kg/s],VAV SYS 1:DesPer 1:Des Sens Cool Cap [W],VAV SYS 1:DesPer 1:Des Tot Cool Cap [W],VAV SYS 1:DesPer 2:Des Heat Mass Flow [kg/s],VAV SYS 1:DesPer 2:Des Heat Cap [W],VAV SYS 1:DesPer 2:Des Cool Mass Flow [kg/s],VAV SYS 1:DesPer 2:Des Sens Cool Cap [W],VAV SYS 1:DesPer 2:Des Tot Cool Cap [W]
00:15:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,3.120558E+03,8.503868E+03
00:30:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,3.069271E+03,8.450966E+03
00:45:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,3.017983E+03,8.398059E+03
01:00:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,2.966695E+03,8.345157E+03
01:15:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,2.932503E+03,8.309884E+03
01:30:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,2.898312E+03,8.274616E+03
01:45:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,2.864120E+03,8.239343E+03
02:00:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,2.829928E+03,8.204076E+03
02:15:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,2.804284E+03,8.177625E+03
02:30:00,5.101204E-01,9.773183E+03,3.180042E-01,0.000000E+00,0.000000E+00,3.180042E-01,0.000000E+00,3.180042E-01,2.778640E+03,8.151175E+03
